AIMARA,ESPAÑOL,INGLES
Qawqha ipanitasa?,¿Cuántas tías tienes?,How many aunts do you have?
"Pä ipanitwa. Maribel, kuna maranktansa?",Tengo dos tías. Maribel ¿En qué año estamos?,"I have two aunts. Maribel, what year are we in?"
"Pä waranqa pä tunka mayani maranktanwa. Lizeth, kuna phaxinktansa?",Estamos en el año 2021. Lizeth ¿en qué mes estamos?,"We are in the year 2021. Lizeth, what month are we in?"
Taypi sata phaxsinktanwa. Kuna urunktansa?,Estamos en el mes de octubre. ¿En qué día estamos?,We are in the month of October. What day is today?
Jichhurux pacha uruwa. Pacha chimpunitati?,Hoy es miércoles. ¿Tienes reloj?,Today is Wednesday. Do you have a watch?
"Jisa, pacha chimpunitwa","Sí, tengo reloj","Yes, I have a watch"
Anchhitax kuna pachasa?,¿En este momento qué hora es?,What time is it right now?
Anchhitax suxta alwat kimsa tunka suxtani k’atanakaw saraqxi,En este momento son las 06:36 de la mañana,Right now it's 06:36 in the morning
Uywanitati?,¿Tienes animales?,Do you have animals?
"Jisa, mä uywanitwa","Sí, tengo un animal",yes i have an animal
Kuna uywanitasa?,¿Qué animal tienes?,What animal you have?
Nayax mä anunitwa,Yo tengo un perro,I have a dog
Anumax kuna saminisa?,¿Tu perro de qué color es?,What color is your dog?
Anujax ch’iyar sanimiwa. Jumasti anunitati?,"Mi perro es de color negro. ¿Y tú, tienes perros?","My dog ​​is black. And you, do you have dogs?"
"Janiw anunikti, nayax mä phisinitwa","No tengo perros, yo tengo un gato","I don't have dogs, I have a cat"
Phisiman nayrapax kuna saminisa?,"¿Los ojos de tu gato, de qué color son?",What color are your cat's eyes?
Nayrapax uqiwa,Sus ojos son de color plomo,His eyes are the color of lead
Phisimax jiwakipachawa,Tu gato debe ser bonito,your cat must be cute
"Saya, ukhamawa. Anchhitax ikiskiwa","Si, así es. En este momento está durmiendo",Yes it is. He is sleeping right now
"Maribel, utaman kuna juyranitasa?","Maribel, en tu casa ¿qué alimento tienes?","Maribel, in your house, what food do you have?"
"Nayax jak’u, asukara, jayu, wallpa k’awna, p’usquptayiri, llujllu, millk’i, millk’i tikanitwa","Yo tengo harina, azúcar, sal, huevo de gallina, levadura, aceite, leche y queso","I have flour, sugar, salt, chicken egg, yeast, oil, milk and cheese"
Uka juyranakampix kuns lurata?,¿Con esos alimentos qué vas a hacer?,What are you going to do with those foods?
Nayax t’ant’a lurä,Yo voy a hacer pan,I'm going to make bread
Ah! Waliki kullakita,¡Ah! Que bien hermanita,oh! good little sister
"Jisa kullaka, janiw t’ant’ax utjkituti, wilamasijatakiw lurä. Jumasti t’ant’a luratati?","Si hermana, no tengo pan, para mi familia voy a hacer. ¿Y tú, vas a hacer pan?","Yes, sister, I don't have bread, I'm going to make it for my family. And you, are you going to make bread?"
Nayax janiraw t’ant’a lurkti,Yo aún no he hecho pan,I haven't made bread yet
Kuna urus luratä?,¿Qué día vas a hacer?,What day are you going to do?
Samañ uru jayp’uw lurä. Jumarux wawanakamax yanapatamti?,"El día sábado por la tarde voy a hacer. ¿A ti, tus hijas te van a ayudar?",On Saturday afternoon I will do. Are your daughters going to help you?
"Janiwa, nayax sapakiw lurä. Jupanakax janiw pachanikiti","No, yo sola voy a hacer. Ellas no tienen tiempo","No, I'm going to do it alone. They don't have time"
Kuns lurapxani?,¿Qué van a hacer?,What are they going to do?
Jupanakax yatiqasipkaniwa,Ellas tienen clases,they have classes
Maribel walikisktati? Wali llakitarakitasa,"¿Maribel, estás bien? Te veo muy preocupada","Maribel, are you okay? I see you very worried"
"Jisa kullaka, llakitapunitwa","Si hermana, bien preocupada siempre estoy","Yes sister, I am always very worried"
Kunata?,¿Por qué?,Why?
Pacha ur alwax nayax mä aymar yant’awinitwa,El miércoles por la mañana yo tengo un examen de Aymara,On Wednesday morning I have an Aymara exam
Chiqapuni kullaka?,¿En verdad hermana?,Really sister?
"Jisa, chiqapuniwa","Sí, en verdad siempre",yes really always
Khitis yatichirimaja? Kunas jupan sutipaxa?,¿Quién es tu docente? ¿Cómo se llama?,Who is your teacher? What's it called?
Yatichirijax Roman Pairumani Ajacopa sutiniwa. Uñt’tati?,Mi docente se llama Román Pairumani Ajacopa. ¿Lo conoces?,My teacher's name is Román Pairumani Ajacopa. Do you know him?
"Jisa, uñt’twa. Nayan pankapaw utjitu","Sí, lo conozco. Yo tengo su libro","Yes, I do. I have your book"
Waliki,Que bien,That's great
"Ukhamasti, aymarat jakhuña yattati?","Entonces, sabes contar en aymara?","So, do you know how to count in Aymara?"
"Jisa, jakhuña yatthwa: maya, paya, kimsa, pusi, phisqa, suxta, paqallqu, kimsaqalqu, llätunka, tunka","Si, sé contar: uno, dos, tres, cuatro, cinco, seis, siete, ocho, nueve, diez","Yes, I can count: one, two, three, four, five, six, seven, eight, nine, ten"
"Wali sumaw kullaka. Jichhasti, Aymar ampar luk’anan sutinakapax yattati?","Muy bien hermana. Ahora, ¿Sabes los nombres de los dedos en aymara?","Very good sister. Now, do you know the names of the fingers in Aymara?"
"Ukx, armasipuntwa",Eso me olvido siempre,I always forget that
"Akax tayka luk’anawa, akax wikuchir luk’ana, akax jilir luk’ana, akax surtij luk’ana, akaraki qallu luk’ana","Este es dedo pulgar, dedo índice, dedo mayor, medio, dedo anular y este dedo meñique","This is thumb, index finger, middle finger, middle finger, ring finger and this little finger"
Ah! Juspajara. Jichhasti janiw armaskati,¡Ah! gracias. Ahora ya no me voy a olvidar,oh! Thank you. Now I'm not going to forget
Ch’akhan uywanakan sutip yattati?,¿Sabes los nombres de los animales vertebrados?,Do you know the names of vertebrate animals?
"Jisa, anu, phisi, qarwa, wanaku, iwija, achaku, taruja, qamaqi, k’usillu, chiñi, wallpa, pili...","Sí, perro, gato, llama, vicuña, oveja, ratón, venado, zorro, mono, murciélago, gallina,pato...","Yes, dog, cat, llama, vicuña, sheep, mouse, deer, fox, monkey, bat, hen, duck..."
"Yattaw kullaka, jan llakisimti. Maribel jichhurux kuns phayäta?",¡Sabes hermana! no te preocupes. Maribel ¿qué vas a cocinar hoy?,"You know sister! do not worry. Maribel, what are you going to cook today?"
Nayax Saxta phayä,Yo voy a cocinar Sajta,I'm going to cook Sajta
Uka manq’x nayax masüruw manq’tha,Esa comida yo he comido ayer,I ate that food yesterday
Kunampi? Ch’uñumpi?,¿Con qué? ¿Con chuño?,With what? With chuño?
"Janiwa, tuntampi. Khitimpis phayäta?","No, con tunta. ¿Con quién vas a cocinar?","No, foolishly. Who are you going to cook with?"
Nayax kullakajampiw phayä. Jupax wali suma phayï,Con mi hermana voy a cocinar. Ella cocina delicioso,With my sister I'm going to cook. she cooks delicious
Waliki Maribel,Que bien Maribel,How good Maribel
Lizetan chililiripaw chilinki,EL celular de Lizeth está sonando,Lizeth's cell phone is ringing
Kullaka khitis jawsantam? Wali sustjatatawa,Hermana ¿Quién te llamó? Muy asustada estás,"Sister, who called you? you are very scared"
"Jisa kullaka, masijaruw anu p’atsutayna","Si hermana, a mi amiga el perro le ha mordido","Yes sister, my friend was bitten by the dog"
"Jan samti, kawkhats p’atsutayna",No me digas ¿Dónde le ha mordido?,Don't tell me where he was bitten?
"Kayut p’atsutayna. Anchapuniw usutu, ukham situwa","En el pie le ha mordido. Me duele mucho, me ha dicho","It has bitten him on the foot. It hurts a lot, he told me"
"Jichhasti, masimax kawkinkisa?","Ahora, tu amiga ¿Dónde está?","Now, where is your friend?"
Mamapax qullañ utaruw irpi,Su mamá la llevo al hospital,Her mom took her to the hospital
"Jan llakisimti, walikiskaniwa","No te preocupes, va estar bien","Don't worry, it will be fine"
"Jisa, walikiskaniwa","Si, va a estar bien",Yeah it's gonna be alright
"Sarxä kullaka, jikisiñkama","Me iré hermana, hasta luego","I'll go sister, see you later"
Jikisiñkamay kullaka. Yaqha uruw aruskipañani,Hasta luego hermana. Otro día conversaremos,See you later sister. another day we will talk
Aski urupïkan kullaka,Buen día hermana,good morning sister
Aski urukïpanay kullaka,Buen día hermana,good morning sister
Kamisaki?,¿Cómo estás?,How are you?
Waliki kullaka,Bien hermana,good sister
Juman sutimax kunasa?,¿Cuál es tu nombre?,What is your name?
Nayan sutijax Alejandrawa,Yo me llamo Alejandra,My name is Alejandra
Sutimasti?,¿Y tu nombre?,And your name?
Nayan sutijax Filomenawa,Yo me llamo Filomena,My name is Philomena
Qawqha maranitasa kullaka?,¿Cuántos años tienes hermana?,How old are you sister?
Nayax pusitunka payani maranitwa,Yo tengo 42 años,I'm 42 years old
Jumasti?,¿Y tú?,And you?
Nayax pä tunka kimsani maranitwa,Yo tengo 23 años,I am 23 years old
Jumax kawki markatatasa?,¿Tú de dónde eres?,Where are you from?
Nayax La Paz markatatwa,Yo soy de La Paz,I am from La Paz
Jumax kuna luriritasa?,¿Tú a qué te dedicas?,What do you do?
Nayax utankiritwa,Yo soy ama de casa,I am a housewife
Jumasti?,¿Y tú?,And you?
Nayax qulliritwa,Yo soy enfermera,I'm a nurse
Kuna manaq’s munta?,¿Qué comida quieres?,What food do you want?
Nayax wallaqi muntha,Yo quiero Wallake,i want wallake
Jumax uywanitati?,¿Tú tienes animales?,You have animals?
Jisa,Sí,Yes
Qawqha uywanitasa?,¿Cuántos animales tienes?,How many animals do you have?
"Nayax mä phisi, mä anu, pä wallpanitwa","Yo tengo 1 gato, 1perro y 2 gallinas","I have 1 cat, 1 dog and 2 chickens."
Phisimax kuna saminisa?,¿De qué color es tu gato?,What color is your cat?
Phisijax janq’uwa,Mi gato es de color blanco,my cat is white
Kuna phaxsisa?,¿Qué mes es?,What month is it?
Taypi sata phaxsiwa,Es el mes de octubre,It's the month of October
Kuna pachasa kullaka?,¿Qué hora es hermana?,What time is it sister?
Paqallqu alwa pachawa,Son las 7:00 de la mañana,It's 7:00 in the morning
Wasurux kuna urunsa?,¿Ayer qué día era?,What day was it yesterday?
Wasurux illamp urunwa,Ayer era jueves,yesterday was thursday
Jumarux kunas ustam Alejandra?,¿Qué te duele Alejandra?,What hurts Alexandra?
P’iqiw usutu,La cabeza me duele,My head hurts
Sintit ustam?,¿Te duele mucho?,Does it hurt a lot?
"Jisa, anchapuniw usutu","Sí, mucho me duele","Yes, it hurts a lot"
Jumapï ancha p’iqi jaristaxa,"Tú pues, te lavas mucho la cabeza","Well, you wash your head a lot"
Jisa kullaka,Si hermana,Yes Sister
Sumarataw kullaka,Te vas a mejorar hermana,you're going to get better sister
"Yuspajara, sarxa","Gracias, me voy","Thank you, I'm leaving"
Jikisinkam kullaka Alejandra,Hasta luego hermana Alejandra,See you later sister Alejandra
Jikinsikamay kullaka Filomena,Hasta luego hermana Filomena,See you later sister Filomena
Phaxsi uruw jikisiñani,El lunes nos encontrarnos,Monday we meet
Phaxsi urukamay,Hasta el lunes,See you Monday
Aski urukïkan kullaka,Buen día hermana,good morning sister
Aski urukïpanay jilata,Buen día hermano,Good day brother
Juman sutimax kunasa?,¿Cuál es tu nombre?,What is your name?
"Nayan sutijax Fabiolawa, jumansti?",Mi nombre es Fabiola ¿y de ti?,"My name is Fabiola, what about you?"
Nayan sutijax Williham satawa,Mi nombre es Williham,My name is Williham
Jumax kawkitatasa?,¿Tú de dónde eres?,Where are you from?
"Nayax Tacna Perú markatatwa, jumasti?",Yo soy de Tacna Perú ¿y tú?,I am from Tacna Peru and you?
Nayax La Paz Bolivia markatatwa,Yo soy de La Paz-Bolivia,I am from La Paz-Bolivia
Waliki kullaka,Que bueno hermana,good sister
Qawqha maranitasa?,¿Cuántos años tienes?,How old are you?
"Nayax pusi tunka maranitwa, jumasti kullaka?","Yo tengo 40 años ¿y tú, hermana?","I am 40 years old, and you, sister?"
Nayax pä tunka pusini maranitwa,Yo tengo 24 años,I'm 24 years old
Qawqha jilanitasa?,¿Cuántos hermanos tienes?,How many brothers you have?
"Nayax mä jilatanitwa, jumasti?",Yo tengo 1 hermano ¿y tú?,I have 1 brother and you?
"Nayax pä jilatanitwa, qawqha kullakanitasa?",Yo tengo 2 hermanos ¿cuántas hermanas tienes?,"I have 2 brothers, how many sisters do you have?"
"Janiw kullakanikti, jumasti?","Yo no tengo hermanas, ¿y tú?","I don't have sisters, do you?"
Nayax mä kullakanikitwa,Yo tengo 1 hermana,I have 1 sister
Jupax khitisa?,¿Él quién es?,Who is he?
Jupax tatajawa,Él es mi Papá,He's my dad
Jupax kawkitasa?,¿Él de dónde es?,Where is he from?
Jupax Tacnatawa,Él es de Tacna,He is from Tacna
Akax kunasa?,¿Esto qué es?,What is this?
Ukax pank’arawa,Eso es flor,that's flower
Chanipax qawqhasa?,¿Cuál es su precio?,What is your price?
Chanipax phisqa bolivianuwa,Su precio es de 5 bolivianos,Its price is 5 bolivianos
"Jilata, ukax kuna uywasa","Hermano, ¿ese qué animal es?","Brother, what animal is that?"
"Ukax phisiwa, jumax qawqha uywanitasa",Eso es un gato ¿y tú cuántos animales tienes?,"That's a cat, and how many animals do you have?"
"Nayax janiw uywanikti, jumasti",Yo no tengo animales ¿y tú?,"I don't have animals, and you?"
"Nayax pä uywanitwa, mä wallpampi, mä wank’umpi","Yo tengo 2 animales, una gallina y un conejo","I have 2 animals, a chicken and a rabbit."
"Waliki, jilata jumax kuna luriritasa?","Está bien, ¿hermano a qué te dedicas?","Okay, brother, what do you do?"
"Nayax yatichiritwa, jumasti?",Yo soy profesor ¿y tú?,"I am a teacher, and you?"
Nayax yatiqiritwa,Yo soy estudiante,I am a student
Jumax qawqha qullqinitasa?,¿Tú cuánto dinero tienes?,How much money do you have?
Nayax tunka qullqinitwa,Yo tengo 10 bolivianos,I have 10 bolivianos
"Kullaka, walikistati?",Hermana ¿estás bien?,Sister are you okay?
"Janiwa, kayuw usutu","No, me duele mi pie","No, my foot hurts"
Kunarsats ustam?,¿Desde cuándo te duele?,Since when does it hurt?
Wasuruta,Desde ayer,Since yesterday
Kunats ustam?,¿Por qué te duele?,Why does it hurt?
Nayax tinktwa,Yo me caí,I fell
Sintit ustam?,¿Te duele mucho?,Does it hurt a lot?
Mä juk’akiw usutu,Solo me duele un poco,it only hurts a little
Waliki kullaka,Está bien hermana,it's ok sister
"Jilata, kuns manq’añ munta?","Hermano, ¿qué quieres comer?","Brother, what do you want to eat?"
Nayax ispi challwa muntha,Yo quiero pescado ispi,I want ispi fish
Ispix kunjamas phayaña?,¿Cómo se cocina el ispi?,How is ispi cooked?
"Ispi challwax thixiñawa, tunqumpi, ch’uqimpiw qhathiyañawa","El pescado ispi se frita, y se hace cocer el maíz y papa","The ispi fish is fried, and the corn and potatoes are cooked"
Uka manqax sumati?,¿Esa comida es rico?,Is that food rich?
Wali sumawa,Es muy rico,Its very good
"Ispi challwax, kuna saminisa?",El pescado ispi ¿de qué color es?,"Ispi fish, what color is it?"
Uqiwa,Es plomo,is lead
"Jilata, urumax kuna phaxsinkisa?","Hermano, ¿en qué mes es tu cumpleaños?","Brother, what month is your birthday?"
"Urujax sata phaxsinkiwa, jumansti?",Mi cumpleaños es en septiembre ¿y de ti?,"My birthday is in September, what about you?"
Urujax jallu qallta phaxsinkiwa,Mi cumpleaños es en diciembre,My birthday is in December
Kuna phaxsinktansa? Janiw amtaskti,¿En qué mes estamos? No recuerdo,What month are we in? I do not remember
Taypi Sata,Octubre,October
Jichhurux kuna urusa?,¿Hoy qué día es?,What day is it today?
Jichhurux samaña uruwa,Hoy es sábado,Today is Saturday
Wasurux kuna urunsa?,¿Ayer qué día era?,What day was it yesterday?
Wasurux ñanqha urunwa,Ayer era viernes,yesterday was friday
Qharurux kuna urunisa?,¿Mañana qué día será?,What day will it be tomorrow?
Qharurux inti uruniwa,Mañana será Domingo,Tomorrow will be Sunday
Kuna pachasa?,¿Qué hora es?,What time is it?
Llätunka arumat kimsa tunka phisqani k’atanakaw saraqxi,Son las 9:35 de la noche,It's 9:35 at night
Jupanakax anatasipkiti?,¿Ellos están jugando?,They're playing?
"Jisa, jupanakaw anatasipkiwa","Sí, ellos están jugando",yes they are playing
"Waliki kullaka, jurpurkama, jikisiñkama","Que bueno hermana, hasta pasado mañana, hasta luego","That's good sister, see you the day after tomorrow, see you later"
Jikisinkamay jilata,Hasta luego hermano,See you later brother
Aski jayp’ukïpan kullaka,Buenas tardes hermana,good afternoon sister
Aski Jayp’ukïpanay kullaka,Buenas tardes hermana,good afternoon sister
Juman phuqha sutimax kunas kullaka?,¿Cuál es tu nombre completo hermana?,What is your full name sister?
Nayan phuqhat sutijax Doris Mollo Callewa,Mi nombre completo es Doris Mollo Calle,My full name is Doris Mollo Calle.
Jumansti kullaka?,¿Y de ti hermana?,What about you sister?
Nayan phuqhat sutijax Vilma Sánchez Alvares satawa kullaka,Mi nombre completo es Vilma Sánchez Álvarez,My full name is Vilma Sánchez Álvarez
Uka utanakax khistinkis kullaka Doris,¿Esas casas de quién es hermana Doris?,Those houses whose sister Doris is?
Uka utanakax nayankiwa kullaka Vilma,Esas casas son mías hermana Vilma,Those houses are mine sister Vilma
Qhawqha jilanitasa kullaka Vilma?,¿Cuántos hermanos tienes hermana Vilma?,How many siblings do you have sister Vilma?
Nayax pusi jilanitwa Kullaka Doris,Yo tengo cuatro hermanos hermana Doris,I have four brothers sister Doris
Jumasti qhawqha jilanitasa kullaka?,"¿Y tú, cuantas hermanas tienes hermana Doris?","And you, how many sisters do you have sister Doris?"
Nayax kimsa jilanitwa kullaka Vilma. Jilir jilajax k’añask’u aljiriwa,Yo tengo cuatro hermanos hermana Vilma. Mi hermano mayor vende vehículos,I have four brothers sister Vilma. My older brother sells vehicles
Kullaka Doris kunas ustam?,Hermana Doris ¿qué te duele?,Sister Doris what hurts you?
Kullaka Vilma nayarux ampar ch’akhaw usutu,Hermana Vilma a mí me duele el hueso de mi mano,"Sister Vilma, the bone of my hand hurts"
Kunjams ustam kullaka?,¿Cómo te duele hermana?,How does it hurt sister?
Sintiw usutu kullaka Vilma,Me duele mucho hermana Vilma,It hurts a lot sister Vilma
Qullasintaw kullaka Doris,Te basa curar hermana Doris,It's up to you to heal sister Doris
"Jisa kullaka Vilma, ch’akha qulliriruw sarä","Si hermana Vilma, iré a donde el especialista en huesos","Yes sister Vilma, I will go to the bone specialist"
Kullaka Vilma jac’ha jawasanak apanirapita,Hermana Vilma habas grandes me lo vas a traer,"Sister Vilma, big beans, are you going to bring it to me?"
Jisa jach’a jawanasanak apanirapimawa,"Sí, te le voy a traer habas grandes","Yes, I'm going to bring you big beans"
Ukax kuna juyrasa kullaka Vilma,Esto que alimento es hermana Vilma,This that I feed is sister Vilma
Ukax q’illu tunqunakawa kullaka Doris,Eso es maíz amarrillo hermana Doris,That's yellow corn sister Doris
Uka q’illu tunqu satanintaw kullaka,Ese maíz amarrillo vas a ir a sembrar hermana,That yellow corn you are going to plant sister
Jisa kullaka qhirwaruw satanixa,Si hermana al valle voy a ir a sembrar,Yes sister to the valley I will go to sow
Kullaka kuna uywanitasa?,¿Hermana qué animales tienes?,Sister what animals do you have?
Nayax walja qawranitwa kullaka,Yo tengo muchas llamas hermana,I have many flames sister
"Jumasti, kuna uywanitasa?","¿Y tú, qué animales tienes?","And you, what animals do you have?"
Nayax pä tunka allpachunitwa kullaka,Yo tengo 20 alpacas hermana,I have 20 alpacas sister
"Suxtax ch’iyarawa, tunkax janq’uwa, pusix ch’umphiwa","Seis de color negro, diez de color blanco y cuatro de color café","Six black, ten white and four brown"
Kunapachasa jikisiñani Kullaka Doris?,¿Cuándo nos encontraremos hermana Doris?,When will we meet Sister Doris?
Inti urun jikisiñani kullaka Vilma,El día domingo nos encontraremos hermana Vilma,On Sunday we will meet sister Vilma
Kuna phaxsinsa tunqunaka satañani kullaka Doris?,¿En qué mes vamos a sembrar maíz hermana Doris?,"In what month are we going to plant corn, Sister Doris?"
Sata phaxsina satañani kullaka Vilma,En el mes de septiembre sembraremos hermana Vilma,In the month of September we will sow Sister Vilma
Kuna urus jikisiñani kullaka Doris?,¿Qué día nos encontraremos hermana Doris?,What day will we meet sister Doris?
Pacha urunwa jikisiñani kullaka Vilma,El día miércoles nos encontraremos hermana Vilma,On Wednesday we will meet sister Vilma
Jikisiñkam kullaka Doris,Hasta luego hermana Doris,See you later sister Doris
Jikisiñkamay kullaka Vilma,Hasta luego hermana Vilma,See you later sister Vilma
Aski jayp’ukipana jilata,Buenas tardes hermano,Good afternoon brother
Aski jayp’ukipanaya jilata,Buenas tardes hermano,Good afternoon brother
Kamisaki jilata?,¿Cómo estás hermano?,How are you brother?
"Waliki jilata, jumasti?","Bien hermano, ¿y tú?",Good brother and you?
Walikiraki Jilata,Bien también hermano,good too brother
Juman sutimaxa kunasa?,¿Cuál es tu nombre?,What is your name?
"Nayana sutijaxa Jose Luis Mamaniwa, jumansti?",Mi nombre es José Luis Mamani ¿y de ti?,"My name is José Luis Mamani, what about you?"
Nayan sutijaxa Nestor Vilca Mamaniwa,Mi nombre es Nestor Vilca Mamani.,My name is Nestor Vilca Mamani.
Qawqha maranitasa jilata Nestor?,¿Cuántos años tienes hermano Nestor?,How old are you brother Nestor?
"Nayax phisqha tunka phisqhani maranitwa, jumansti?",Yo tengo 55 años ¿y tú?,I am 55 years old and you?
Nayax pusi tunka pusini maranitwa. Jilata Nestor wilamasinitati?,Yo tengo 44 años. Hermano Nestor ¿tienes familia?,"I'm 44 years old. Brother Nestor, do you have a family?"
"Jisa, familianitwa","Sí, tengo familia",If I have family
Uywanitati?,¿Tienes ganado?,Do you have cattle?
"Jisa, uywanitwa","Sí, tengo ganado",yes i have won
Warmiman sutipax kunasa?,¿Cuál es el nombre de tu esposa?,What is your wife's name?
Warmijan sutipax Rosa Mamaniwa,Su nombre de mi esposa es Rosa Mamani,Her my wife's name is Rosa Mamani
Utanitati?,¿Tienes casa?,Do you have a house?
"Jisa, utanitwa",Sí tengo casa,yes i have a house
"Amp suma jilata, jichurux kuna urusa?","Por favor hermano, ¿hoy qué día es?","Please brother, what day is today?"
"Jichhurux saxra uruwa, jilata","Hoy es martes, hermano",today is tuesday bro
"Aka phaxsix, kuna phaxsisa?",Este mes ¿qué mes es?,"This month, what month is it?"
Aka phaxsix taypisatawa,Este mes es octubre,this month is october
"Jilata Nestor, kuna marasa?",Hermano Nestor ¿qué año es?,"Brother Nestor, what year is it?"
Aka marax pä waranka pä tunka mayaniwa,Este año es 2021,This year is 2021
"Amp suma jilata, anchhitax kuna pachasa?","Por favor hermano, ¿ahora qué hora es?","Please brother, what time is it now?"
Anchhitax paqallqu alwa pachawa,En este momento sonlas 7:00 de la mañana,Right now it's 7:00 in the morning
"Jilata Nestor, jumax juyranisktati?",Hemano Nestor tienes alimentos?,Brother Nestor do you have food?
"Jisa jilata, juyranisktwa","Sí hermano, tengo alimentos","Yes brother, I have food"
Kuna juyranitasa?,¿Qué alimentos tienes?,What foods do you have?
"Nayax tunqu, jawasa, ch'uqi ukakanitwa","Yo tengo maíz, haba, papa","I have corn, beans, potatoes"
Jumax kuna muxsa achs munta?,¿Qué fruta quieres?,What fruit do you want?
Nayax larankha muntha,Yo quiero naranja,I want orange
Tatamax kuna juyranisa?,¿Tu papá qué alimentos tiene?,What food does your dad have?
Tajajax tunquniwa,Mi papá tiene maíz,My dad has corn
Jumax kuna manq's munta?,¿Tú qué comida quieres?,What food do you want?
Nayax plato paceño muntha,Yo quiero plato paceño,I want a dish from La Paz
Ukax kunampis phayaña?,¿Eso con qué hay que cocinar?,What do you have to cook with?
"Ukax jasawampi, ch'uqimpi, chhuxllumpi, aychampi, kisumpiw phayaña","Eso se cocina con papa, choclo, carne y queso","That is cooked with potatoes, corn, meat and cheese"
Plato paceñux kunjamas phayaña?,¿Cómo se cocina el plato paceño?,How is the La Paz dish cooked?
"Jasawampi, ch'uquimpi, chhuxllumpix qhathiyañawa. Kisumpi aychampix thixiñawa","Las habas, la papa y el choclo hay que hacer cocer. El queso y la carne hay que fritar","Broad beans, potatoes and corn must be cooked. Cheese and meat must be fried"
Tatamax kuna manq's muni?,¿Tu papá qué comida quiere?,What food does your dad want?
Tatajax kisu umacha muni,Mi papá quiere queso humacha,My dad wants humacha cheese
"Waliki, kunas ukanakaxa, jilata Nestor?","Bien, que son esos hermano Néstor?","Well, what are those brother Nestor?"
Ukax qawranakawa,Esos son llamas,those are llamas
Ukanakasti?,¿Y esos?,And those?
Ukanakax iwijanakajawa,Esos son mis ovejas,those are my sheep
Khayanakasti?,¿Y aquellos?,And those?
Khayanakax wilamasijawa,Aquellos son mis familiares,those are my relatives
Kawkinkiritasa?,¿De dónde eres?,Where are you from?
Nayaxa Puno markankiritwa,Yo soy de Puno,I am from Puno
Taykanitati?,¿Tienes mamá?,do you have mom?
Jisa taykanitwa,"Sí, tengo mamá",yes i have mom
Taykamax kawkinkirisa?,¿Tu mamá de dónde es?,Where is your mom from?
Taykajax Puno markanrikiwa,Mi mamá es de Puno,My mom is from Puno
Taykaman sutipax kunasa?,¿Cuál es su nombre de tu mamá?,What is your mom's name?
Taykajan sutipax Maximawa,Su nombre de mi mamá es Maxima,Her name from my mom is Maxima
Achachilaman sutipax kunasa?,¿Cuál es el su nombre tu abuelo?,What is your grandfather's name?
Achachilajan sutipax Franciscowa,El nombre de mi abuelo es Francisco,My grandfather's name is Francisco
Achachilamax qawqha maranisa?,¿Tu abuelo cuántos años tiene?,How old is your grandfather?
Kimsa qallq tunka phisqani maraniwa,Tiene 85 años,He is 85 years old
Awichuman sutipax kunasa?,¿Cuál es el su nombre tu abuela?,What is your grandmother's name?
Awichujan sutipax Matinawa,El nombre de mi abuela es Martina,My grandmother's name is Martina
Allchhinitati?,¿Tienes nietos?,You have grandchildren?
"Jisa, allchhinitwa","Sí, tengo nietos","Yes, I have grandchildren"
Qawqha allchhinitasa?,¿Cuántos nietos tienes?,How many grandchildren do you have?
Nayx pusi allchhinitwa,Yo tengo 4 nietos,I have 4 grandchildren
Qawqhanis yuqalla?,¿Cuántos son niños?,How many are children?
Kimsaniw yuqalla,3 son niños,3 are children
Jilie allchhimax qawqha maranisa?,¿Cuántos años tiene tu nieto mayor?,How old is your oldest grandson?
Tunka mayani maraniwa,Tiene 11 años,He is 11 years old
"Waliki, Jikisiñkama jilata Néstor","Bien, hasta luego hermano Néstor","Well, see you later brother Nestor"
Jikisiñkamay jilata José,Hasta luego hermano José,See you later brother Jose
Aski urukïpan kullaka Edyth,Buen día hermana Edyth,Good morning sister Edyth
Aski urukïpanay kullaka Patricia,Buen día hermana Patricia,Good morning sister Patricia
Kamisaki kullaka?,¿Como estás hermana?,How are you sister?
"Waliki kullaka, ¿jumasti?","Bien hermana, ¿y tú?","Well sister, and you?"
Walikiraki kullaka,Bien también hermana,good too sister
Qawqha maranitasa?,¿Cuántos años tienes?,How old are you?
Nayax pä tunka phisqani maranithwa,Yo tengo 25 años,I have 25 years
Akax kunasa?,¿Esto que es?,What is this?
Ukax pankawa,Eso es libro,that's book
Kuna marasa kullaka?,¿Qué año es hermana?,What year is it sister?
Pä waranqa pä tunka mayani marawa,Es 2021,It's 2021
Kuna phaxsinktansa?,¿En qué mes estamos?,What month are we in?
Taypi sata phaxsinktawa,Estamos en octubre,we are in october
Jumax kuna luriritasa?,¿Tú a qué te dedicas?,What do you do?
Nayax Qulliritwa,Soy doctora,I am a doctor
Kunas ustam?,¿Qué te duele?,What hurts you?
"Janiw kunas uskituti, jumarusti kullaka?","No me duele nada, ¿y a ti hermana?","Nothing hurts me, and you sister?"
Puraka usutu,Me duele el estómago,My stomach hurts
Jumax kuna manq’s muntha?,¿Tú qué comida quieres?,What food do you want?
Nayax Chairu muntha,Yo quiero Chairo,i want chairo
Kuna phaxsinsa yuritata?,¿En qué mes habías nacido?,In what month were you born?
Lapaqa phaxsina,En noviembre,In November
Jichhurux kuna urusa?,¿Hoy que día es?,What day is it today?
Jichhurux pacha uruwa kullaka,Hoy es miércoles hermana,today is wednesday sister
